id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,Management of costs,What is the primary objective of an Immobilisation Orthosis?,To improve joint function,To relieve pain and stiffness,To immobilise a joint and promote healing,To treat disorders of muscular weakness,c
OIC-328-12-B,Definition,"What type of therapy involves drinking a large amount of thermal water (up to 3 liters per day) for disorders such as digestive, urinary, or metabolic issues.",Contact Cures,External Hydrotherapy,Internal Hydrotherapy,Functional Re-Education,c
OIC-328-05-A,Definition,What is the primary function of an orthosis?,To provide support and stability for a limb or spine during healing,To correct deformities in bones after trauma or surgery,To relieve pain by immobilizing the affected area,To replace a missing or damaged limb entirely,a
OIC-328-08-A,Definition,What is the primary function of an intermediate effector in a limb prosthesis?,To connect the socket to the end effector,To transfer weight from the residual limb to the prosthetic device,To provide aesthetic enhancement for the prosthetic device,To enable active movement through the prosthetic device,a
OIC-328-02-A,Definition,What defines a medical device?,Any product or material used for non-medical purposes in humans.,"Any instrument, apparatus, equipment, or software used alone or in combination for medical purposes in humans.",Any product or material used for therapeutic purposes in animals.,Any device that alters a person's physical characteristics.,b
OIC-328-07-B,,"When prescribing an orthosis, what is the primary goal?",To provide long-term pain relief,To support and protect a specific joint or limb,To treat a medical condition through physical therapy,To prepare for surgery,b
OIC-328-04-B,Definition,What is the primary difference between minor and major appliances in non-drug therapies and medical devices?,"Minor appliances are available for prescription by general practitioners, while major appliances require specialist doctor prescriptions.","Major appliances are designed by orthotists or pedorthists, but can be prescribed by specialists with prior approval from ALD.","Minor and major appliances are both made from standard thermoplastic materials, but differ in their level of complexity.","Medical devices classified as minor appliances allow for at-home use without specialist supervision, while those as major appliances require hospital-level care.",d
OIC-328-10-B,Definition,What is the main objective of a walking aid?,Improving balance,Enhancing mobility in people with paralysis,Increasing independence by facilitating movement,Reducing pain associated with arthritis,c
OIC-328-09-A,Definition,What does 'Custom-made Orthopedic Shoes' refer to?,A type of standard therapeutic footwear,Orthopedic devices that can be prescribed by any doctor and reimbursed at 60%,Foot orthoses designed to correct neurological deficits and deformities,Protective shoes with a series discharge mechanism for toe protection,c
OIC-328-03-B,Management,What type of device requires prior agreement and specific form for its prescription?,Orthotics,Prostheses,Electric wheelchairs,Joint and spinal series orthoses,a
OIC-328-01-A,Evaluation,What is the primary purpose of an initial assessment in prescribing non-drug therapies?,To determine the patient's age and weight,"To identify the patient's disabilities, activity limitations, participation restrictions, and environmental factors",To evaluate the therapeutic efficacy ratio of a specific device,To monitor the patient's medication adherence,b
OIC-328-11-A,Definition,What is a requirement for prescribing an electric wheelchair?,A simple prescription and purchase directly by the patient.,"A trial to ensure suitability, conducted by a PRM doctor along with a physiotherapist or occupational therapist.",Purchase only if covered by health insurance.,No medical clearance is needed for electric wheelchair prescription.,b
OIC-019-05-A,Definition,What types of risks does the General Scheme currently cover?,Only sickness and family-related risks,Only occupational diseases and retirement risks,"Sickness, family, retirement, industrial accidents, and occupational diseases",Only contributions to financing social security,c
OIC-019-12-A,,What is exempted from co-payment for care according to the ALD protocol?,Care that complies with the HAS recommendations,Only treatments of a long-term disease on the list of 30 defined by the health insurance scheme,Treatments that are directly linked to a disabling pathological condition requiring continuous care for more than six months,All medical services provided outside the ALD protocol,b
OIC-019-08-A,Definition,What percentage of the French population is covered by the general Social Security scheme?,12,"Well, since January 1st, 2018, social protection for the self-employed has been integrated into this scheme.",88,75,c
OIC-019-04-B,,What is the main reason for the decline in social security contributions as a proportion of social welfare funding since 1990?,An increase in employer's health insurance contribution.,"A rise in fiscal resources, such as the CSG and exemptions on employers' contributions.",A decrease in tax revenue from products like alcohol and tobacco.,A shift from social security to private healthcare insurances.,b
OIC-019-10-A,,What is the purpose of the 'modérateur' (co-payment) in the French social security system?,To regulate healthcare consumption by making patients fully financially responsible.,To exempt patients from paying medical costs upfront.,"To make patients pay a fixed contribution for each consultation or procedure, regardless of their financial situation.",To allow patients to choose between full reimbursement and a lower co-payment.,a
OIC-019-07-B,Definition,What is the National Health Insurance Expenditure Target (ONDAM) in France?,A financial goal to reduce health insurance spending,An annual limit on health care expenditure,A target for revenue forecasts and social security expenditure targets for outpatient care,A regulatory framework for medical tourism,c
OIC-019-13-B,Definition,"What type of benefits is reimbursement of healthcare costs incurred as a result of illness, maternity, or an accident at work?",Daily allowances (IJ) for employees off work,Partially reimbursed daily charges payable by the patient for medical transport,Exemption from co-payment for insured persons during invalidity risk,"Reimbursement of costs incurred with the application of a co-payment, variable according to the services",d
OIC-019-03-B,Definition,What percentage of France's Gross Domestic Product accounted for social protection benefits in 2020?,25%,35%,40%,45%,b
OIC-019-02-A,Definition,What is the primary purpose of social protection benefits in France?,To provide direct financial assistance to individuals in need,"To offer free or reduced-cost access to essential services and goods, such as healthcare and childcare",To help households with rent and loan repayments through housing subsidies,To ensure that everyone has a minimum standard of living regardless of their financial situation,b
OIC-019-11-A,Definition,What is the main purpose of the 'preferred doctor' in the coordinated care pathway?,To increase out-of-pocket expenses for patients who don't follow their GP's referral,To provide personalized prevention services and manage medical files,To limit access to specialist doctors without a referral from a GP,To only allow direct access to certain specialist doctors for specific procedures,b
OIC-019-06-B,Definition,When is the Social Security Financing Act typically voted on by Parliament?,Every 10 years,At the same time as the Finance Act (LF) that determines the State budget,Only in response to a national emergency,After being submitted by the government,b
OIC-019-09-A,Definition,What is the main mission of the Caisse Nationale d'Assurance Maladie (CNAM) in the General Social Security System?,To provide financial support to insured persons,To control healthcare expenditure and improve population health,To coordinate medical procedures and pricing within health establishments,To promote preventive measures through cancer screening programs,f
OIC-019-01-A,Definition,What is the main purpose of social protection?,To provide financial compensation for specific social risks,To establish solidarity between individuals to combat poverty and exclusion,To grant benefits without means-testing and identical for everyone,To enable individuals to cope with the financial consequences of social risks,d
OIC-283-02-A,Definition,"In adults, constipation is considered chronic if it has been present for: ",Less than 3 months,At least 6 months,Every day,For a week or less,b
OIC-283-06-B,Etiologies,What is the primary distinction between idiopathic constipation and secondary constipation?,Secondary constipation can only be caused by organic diseases or systemic conditions.,"The two mechanisms of constipation, transit constipation and distal constipation, are mutually exclusive with secondary constipation.",Idiopathic constipation often involves an obstruction in the colon that requires immediate medical attention.,Secondary constipation typically occurs in conjunction with a reduction in colonic contractions or rectal evacuation difficulties.,b
OIC-283-01-B,Epidemiology,What age range is most commonly affected by constipation?,0-12 months,1 and 4 years old,5-8 years old,all ages equally,b
OIC-283-05-A,Positive diagnosis,The interrogatory process in constipation assessment is primarily used to: ,Confirming diagnosis and identifying contributing factors,"Detecting symptoms suggesting a secondary cause, but not understanding the underlying mechanism of constipation","Assessing the impact on quality of life, but not examining for fecal impaction","Identifying warning signs of colorectal cancer or anal canal cancer, but not conducting a proctological examination",a
OIC-283-07-A,Management,What is the recommended amount of daily fiber intake for adults with constipation?,20g/day,25g/day,30g/day,40g/day,b
OIC-283-09-B,Management,What is the primary approach to managing chronic constipation in children?,Medicinal treatment alone,Hygienic and dietary measures combined with psychological treatment,"Medicinal treatment prolonged for several months followed by gradual reduction, combined with hygienic and dietary measures","Checking bottle replenishment, water intake, and diversification as a primary approach",c
OIC-283-04-B,Complementary examinations,Anorectal manometry is used to identify a functional disorder of exoneration. What is its usual performance condition?,After laxatives have been stopped,During bowel movements,With general anaesthetic,"In the event of warning signs (rectal discharge, change in general condition, recent unexplained change in transit)",a
OIC-283-08-B,Follow-up and/or prognosis,A child with chronic constipation is at increased risk for which of the following complications?,Anal Fissure,Abdominal Pain relieved by passing stools,Encopresis leading to urinary tract infections,"Rectal Prolapse and Sub-occlusions (Anorexia, Nausea, Meteorism)",d
OIC-283-03-B,Physiopathology,What is the primary origin of constipation in children?,Congenital,Organic,Functional,Terminal retention,c
OIC-005-09-A,Definition,What type of event constitutes a medical accident?,An undesirable event that occurs during a treatment with no damage to the patient's health.,"An unintended consequence of a healthcare action, resulting in abnormal damage to the patient's state of health.",A condition caused solely by the fault of a healthcare professional.,A result of a treatment that triggers new symptoms unrelated to its intended purpose.,b
OIC-005-11-A,Definition,What type of event is characterized as a 'therapeutic hazard'?,An error that occurs despite compliance with medical protocols.,"An unforeseen event caused by the care action, but not due to any fault or responsibility of healthcare professionals.",A side effect of a medication prescribed by a doctor.,A medical accident resulting from negligence on the part of healthcare professionals.,b
OIC-005-12-B,Epidemiology,What factor is most closely related to the likelihood of litigation following a medical accident?,Patient factors are less likely to contribute to litigation decisions.,"Task-related factors directly influence patient outcomes and, therefore, liability.",Team factors play a crucial role in establishing fault and determining blame.,Organization and management factors can significantly impact the efficiency of error reporting and addressing adverse events.,d
OIC-005-13-A,Definition,What are some factors that can contribute to human error?,"Only lack of knowledge, skills, and experience","Stress, communication breakdowns, and patient attitude or behavior",Individual memory limitations and linguistic/cultural barriers,Team conflict and poor organizational structure,b
OIC-005-15-B,Definition,What is a key aspect of a positive error culture approach?,Blaming the person responsible for errors.,Encouraging reporting of errors without fear of retribution.,Analyzing errors with an external viewpoint only.,Focusing on prevention rather than punishment.,b
OIC-005-07-A,Definition,"According to Article L.1142-1 of the French Public Health Code, what is the condition for medical liability?",The patient claims fault,Healthcare professionals are liable without proof of fault,There must be a proven breach of established medical knowledge or scientific data,Medical liability only exists if the healthcare professional has intentionally harmed the patient,c
OIC-005-06-A,Definition,What type of liability refers to a situation where damage occurs without any breach of professional or scientific rules or error?,Fault-based liability,No-fault liability,Negligence liability,Proven fault liability,b
OIC-005-02-A,Definition,What is the primary purpose of criminal liability in medical practice?,To provide financial compensation to patients who have been harmed.,To punish individuals whose behavior is deemed reprehensible by society and to establish personal responsibility for doctors and health establishments.,To regulate medical practices and ensure patient safety through administrative measures.,To provide immunity from prosecution for healthcare professionals who make mistakes.,b
OIC-005-01-A,Definition,What is the primary purpose of liability in healthcare?,To compensate users who have suffered consequences of an adverse event,To punish professionals or institutions for negligence,To provide a guarantee for professional indemnity insurance,To prevent future errors and complaints,a
OIC-005-10-A,Definition,What type of infection occurs during a stay in a healthcare establishment?,Incubated infection,Nosocomial infection,Community-acquired infection,Hospital-acquired infection,b
OIC-005-08-A,Definition,What type of error occurs when a necessary action has not been taken?,Error by commission: An action that was carried out but was not useful.,Error of execution: An action that was poorly carried out.,Breach (Violation/Non-compliance): A non-respect of a professional rule or recommendation.,Omission: A necessary action that has not been taken.,d
OIC-005-04-A,Definition,What type of liability is typically brought before administrative courts for acts performed by hospital doctors?,Personal civil liability,Public health establishment liability,Official misconduct in public service,Patient personal injury liability,c
OIC-005-05-A,Definition,What type of liability does disciplinary liability represent?,Civil Liability,Criminal Liability,Administrative Liability,Disciplinary Liability,d
OIC-005-14-B,,What is the primary purpose of the Safety Barrier Model?,To identify and analyze reasons for errors,To prevent errors from occurring in the first place,To mitigate the consequences of errors when they do occur,To investigate and report on errors that have already happened,b
OIC-005-03-A,Definition,Who may be held civilly liable for damages caused to a patient?,Only doctors employed by private establishments.,Doctors and nurses working in hospitals,Self-employed professionals and private healthcare establishments.,None of the above,c
OIC-050-16-B,Additional examinations,What should be done if there's a strong clinical suspicion of spermatic cord torsion?,Pursue further investigation with imaging,Wait for 24 hours to see if symptoms resolve,Surgical exploration without imaging is recommended initially,Perform testicular ultrasound with Doppler on the affected side,c
OIC-050-14-A,Management,At what age can physiological phimosis in children be treated?,Under 2 years,3-4 years,5-6 years,Immediately after birth,b
OIC-050-07-B,Management,What is the recommended treatment for a boy with testicular torsion?,Orchiectomy,Immediate surgical scrotal exploration and orchidopexy if the testicle appears viable,Medical treatment with antibiotics only,Hyperbaric oxygen therapy only,b
OIC-050-12-B,Management,At what age should surgical intervention be considered for a child with cryptorchidism?,Before the age of 6 months,After the age of 1 year,Whenever discomfort or pain is present,As soon as symptoms appear,b
OIC-050-11-B,Additional examinations,What is the indication for laparoscopic exploration in children with undescended testis that cannot be palpated under general anesthesia?,Immediate referral to a pediatric surgeon,Laparoscopic exploration may be indicated if the testicle cannot be felt even after prolonged examination and general anesthesia is not effective.,"No imaging technique is really effective, so there's no need for additional examinations",Referred to a pediatric surgeon only if laparoscopic exploration fails,b
OIC-050-13-A,,What is an inflammation of the glans and foreskin caused by a failure to retract and an accumulation of smegma?,Phimosis,Paraphimosis,Balanoposthitis,Scleratrophic lichen,c
OIC-050-02-A,Emergency identification,"When managing testicular torsion, what is the recommended approach?",Performing external detorsion before surgical exploration can delay treatment.,Testicular Doppler ultrasound should be used to diagnose and delay treatment if there is doubt,"Surgery should be performed without delay even with delayed pain regression, as it compromises testicular function.",Manual reduction of paraphimosis is the primary approach in emergency management.,c
OIC-050-09-B,Additional examinations,Why is scrotal ultrasound not performed for every patient suspected of having a hydrocele?,Because it's a procedure that requires general anesthesia.,Percutaneous puncture is contraindicated.,It can cause radiation exposure to the patient.,Scrotal ultrasound is not suitable for patients with pacemakers or metal implants.,b
OIC-050-05-B,Complementary examinations,What is the primary purpose of performing a PCR on the first urine stream in young men with suspected orchi-epididymitis?,To detect chlamydia and gonococcus,To rule out urinary tract infections,To check for abnormal sperm counts,To identify other causes of epididymitis,a
