id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,Management of costs,Which of the following is the primary objective of a cervical orthosis?,To improve lower limb mobility,To stabilize and immobilize the cervical spine,To correct deformities in the trunk,To relieve pain in the lumbar region,B
OIC-328-12-B,Definition,Which of the following is NOT a recognized therapeutic orientation for spa treatments in France according to the French social security system?,Rheumatology and sequelae of osteo-articular trauma (RH),Cardio-Arterial Diseases (MCA),Astrology-based treatments (AB),Phlebology (PHL),C
OIC-328-05-A,Definition,Which of the following best describes the primary objectives of orthotic treatment?,To provide immediate surgical intervention and post-operative care.,"To offer downtime, rest, stabilization, correction, and substitution for limb deficiencies.",To administer pharmaceutical drugs for pain management and inflammation reduction.,To replace the need for physical therapy and rehabilitation exercises.,B
OIC-328-08-A,Definition,Which of the following best describes the components of a limb prosthesis?,"A prosthesis consists of a sleeve, a socket, and an end effector, with no intermediate effectors involved.","A prosthesis includes a sleeve, a socket, intermediate effectors (articular and non-articular), and an end effector (such as a foot or hand), along with an aesthetic trim.","A prosthesis is made up of a socket only, which directly connects to the patient's residual limb without any additional components.","A prosthesis includes a sleeve, an end effector, and aesthetic trim, but does not require a socket or intermediate effectors.",B
OIC-328-02-A,Definition,What is the primary purpose of a medical device according to the European regulation (EU regulation 2017/745)?,"To act through pharmacological, immunological, or metabolic means.",To be used for non-medical purposes in humans.,"To obtain its principal intended action without pharmacological, immunological, or metabolic means.",To regulate prices and reimbursements by social organizations.,C
OIC-328-07-B,,"When prescribing orthoses, which of the following factors is most important to consider for ensuring proper fit and function?",The color of the orthosis to match the patient's preference,The patient's shoe size to ensure the orthosis fits inside their footwear,The patient's body measurements and specific needs to tailor the orthosis correctly,The brand of the orthosis for its market popularity,C
OIC-328-04-B,Definition,Which of the following statements accurately describes the difference between minor and major medical appliances?,"Minor appliances are custom-made devices requiring a specialist's prescription, while major appliances are standard devices available on simple prescription.","Minor appliances compensate for deficient organic functions and are made from standard materials, while major appliances include sophisticated technologies and require a specialist's prescription.","Major appliances are available in pharmacies and can be prescribed by non-specialists, while minor appliances are registered on the LPPR and reimbursed at 60%.","Minor appliances include home automation devices, while major appliances are standard devices like compression stockings.",B
OIC-328-10-B,Definition,Which of the following technical aids is primarily used for improving communication in individuals with neurological pathology?,Electric wheelchair,Voice synthesis,Bath board,Verticalizer,B
OIC-328-09-A,Definition,Which of the following statements accurately describes the characteristics and indications for orthopedic footwear?,"Orthopedic footwear, including custom-made shoes, is only reimbursed at 60% and is indicated for cosmetic foot concerns.","Standard therapeutic footwear, such as CHUT and CHUP, is reimbursed at 60% and prescribed for temporary use by any doctor for conditions like edema.",Foot orthoses are custom-made devices reimbursed at 100% and are used to correct limping and sensory deficits.,"Orthoplasty footwear is designed to protect the toes and is reimbursed at 60%, performed by a chiropodist or ortho-prosthetist for conditions like trophic disorders.",D
OIC-328-03-B,Management,Which of the following statements accurately describes the reimbursement process for medical devices in non-drug therapies?,Medical devices are always fully reimbursed at 100% regardless of the setting (hospital or community).,"In hospitals, medical devices are covered by the hospital stay charge (GHS) unless they are on the 'extra' list, in which case they are covered by the LPPR.","In towns and cities, medical devices are only reimbursed if prescribed by a physiotherapist or a nurse.",The financing of medical devices is not linked to the associated procedure and is always covered by the LPPR.,B
OIC-328-01-A,Evaluation,"When evaluating non-drug therapies for a patient with a chronic pathology, which of the following factors is NOT considered in the therapeutic efficacy ratio?",The patient's level of disability,The patient's ability to perform daily activities,The patient's participation restrictions,The patient's favorite color,D
